|tema|create_video|video_id|author|hashtags|desc|_browser|lenguage|time_zone|source|stats
0|petro|2022-02-03 12:04:11|7060530453089914118|{'id': '6899017548622349318', 'uniqueId': 'luxictus', 'nickname': 'Neifer Nehil Ortiz', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9a236e7f3ef9932051e43126254df9db~c5_100x100.jpeg?x-expires=1651021200&x-signature=00DIKrvHQjZTWUeLrpur7jS8%2FVQ%3D', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9a236e7f3ef9932051e43126254df9db~c5_720x720.jpeg?x-expires=1651021200&x-signature=Juu8abWvl%2F7WEYcjzHxk%2BDRhsM4%3D', 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9a236e7f3ef9932051e43126254df9db~c5_1080x1080.jpeg?x-expires=1651021200&x-signature=K5ti9vgQzuWhQ4xG7p4UoqTDNAw%3D', 'signature': 'Artista de Rap, Disco Oficial El Duelo de Un Tenor', 'verified': False, 'secUid': 'MS4wLjABAAAAPXl_veuoz2hARlgGi20XfvuqNjM6ndb_BCrBxzizzStOAfGm6J2TZK940qmKePx8', 'secret': False, 'ftc': False, 'relation': 0, 'openFavorite': False, 'commentSetting': 0, 'duetSetting': 0, 'stitchSetting': 0, 'privateAccount': False}|[TikTokApi.hashtag(id='7691930', name='petro'), TikTokApi.hashtag(id='1595769331561478', name='petropresidente'), TikTokApi.hashtag(id='8387707', name='uribe'), TikTokApi.hashtag(id='1618333575932070', name='uribeparaco'), TikTokApi.hashtag(id='20050', name='colombia'), TikTokApi.hashtag(id='1651101052529669', name='soscolombia'), TikTokApi.hashtag(id='47157678', name='corrupcion')]|#petro #petropresidente #uribe #uribeparaco #colombia #soscolombia #corrupcion|<TikTokApi.browser_utilities.browser.browser object at 0x7f0a08bc5d90>|en|America/Bogota|Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1|{'diggCount': 166900, 'shareCount': 11400, 'commentCount': 3323, 'playCount': 3100000}
1|petro|2022-03-14 21:26:02|7075147556426190085|{'id': '6807112267931403270', 'uniqueId': 'rihdiosa', 'nickname': 'cardiosaB', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f0685805e1f2471aa67d0c0513d192fa~c5_100x100.jpeg?x-expires=1651021200&x-signature=8Lgd2p%2BiyR9oxPXPXtMIx9YiyJk%3D', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f0685805e1f2471aa67d0c0513d192fa~c5_720x720.jpeg?x-expires=1651021200&x-signature=NzJgZaYxPNEUhQOFCkuoweSOx3c%3D', 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f0685805e1f2471aa67d0c0513d192fa~c5_1080x1080.jpeg?x-expires=1651021200&x-signature=e8K5VjrgaWUuJ5o8Cogllb3ZFk4%3D', 'signature': '', 'verified': False, 'secUid': 'MS4wLjABAAAAUUdBWrT5A9Vgo7TMvRjIlBPvpV8RNMWc8zh-j001RkHu2I97fnJWjEL0Z_WTd4aj', 'secret': False, 'ftc': False, 'relation': 0, 'openFavorite': False, 'commentSetting': 0, 'duetSetting': 0, 'stitchSetting': 0, 'privateAccount': False}|[TikTokApi.hashtag(id='7691930', name='petro'), TikTokApi.hashtag(id='1678660788566017', name='petropresidente2022'), TikTokApi.hashtag(id='1705215324986374', name='eleccionescolombia2022'), TikTokApi.hashtag(id='1637342470396934', name='fypシ'), TikTokApi.hashtag(id='2188817', name='fico'), TikTokApi.hashtag(id='7075143748220354566', name='debatepresidencial2022🇨🇴')]|peinada y alisada por hablador a fico #petro #petropresidente2022 #eleccionescolombia2022 #fypシ #Fico #debatepresidencial2022🇨🇴|<TikTokApi.browser_utilities.browser.browser object at 0x7f0a08bc5d90>|en|America/Bogota|Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1|{'diggCount': 73400, 'shareCount': 10100, 'commentCount': 2385, 'playCount': 1200000}
2|petro|2022-03-16 19:41:36|7075862822281874694|{'id': '6941442843677230085', 'uniqueId': 'mastertradercolombia', 'nickname': 'Master Trader Colomb', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/aee54b023ee89318098b36ac1360b535~c5_100x100.jpeg?x-expires=1651021200&x-signature=9y1swIAPz2fUizwH5n3Ys8Q5KEw%3D', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/aee54b023ee89318098b36ac1360b535~c5_720x720.jpeg?x-expires=1651021200&x-signature=ZvZMlIymjwE%2BNKUPjBw97kbr2XA%3D', 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/aee54b023ee89318098b36ac1360b535~c5_1080x1080.jpeg?x-expires=1651021200&x-signature=Lu178vZ0BmM6Q02430Zyx9uLGHw%3D', 'signature': 'Link desafío de trading 👇🏼', 'verified': False, 'secUid': 'MS4wLjABAAAAgvIYP54tkMlC3DMrwsyQWOble3DVYLFw3fKACtXt6_CVJKnsAdlIVezgBuhQOBXM', 'secret': False, 'ftc': False, 'relation': 0, 'openFavorite': False, 'commentSetting': 0, 'duetSetting': 0, 'stitchSetting': 0, 'privateAccount': False}|[TikTokApi.hashtag(id='1705215324986374', name='eleccionescolombia2022'), TikTokApi.hashtag(id='70362', name='trading'), TikTokApi.hashtag(id='50949241', name='inversiones'), TikTokApi.hashtag(id='895849', name='debates'), TikTokApi.hashtag(id='7691930', name='petro'), TikTokApi.hashtag(id='2188817', name='fico')]|#eleccionescolombia2022 #trading #inversiones #debates #petro #fico|<TikTokApi.browser_utilities.browser.browser object at 0x7f0a08bc5d90>|en|America/Bogota|Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1|{'diggCount': 129300, 'shareCount': 20300, 'commentCount': 5278, 'playCount': 1600000}
3|petro|2022-03-14 23:46:54|7075183854893485317|{'id': '6980769338253132805', 'uniqueId': 'peterlift', 'nickname': 'Peterlift', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f65074d1b0caec86725d70a0bfb8cfa1~c5_100x100.jpeg?x-expires=1651021200&x-signature=r2chYK1gs9C5CmWNRLoG%2BeyeTxA%3D', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f65074d1b0caec86725d70a0bfb8cfa1~c5_720x720.jpeg?x-expires=1651021200&x-signature=shRRKpHJjGTDY6Z%2F9k3BVGbrsAk%3D', 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f65074d1b0caec86725d70a0bfb8cfa1~c5_1080x1080.jpeg?x-expires=1651021200&x-signature=aWZWvHGNRnGpclT7om9pN2Zctv8%3D', 'signature': '', 'verified': False, 'secUid': 'MS4wLjABAAAAvbbczxox9jrci8TTeDG0OFjeegkSjIDRQQVZFNTFvMew4k5Qg6D_PtCp1LxemiVz', 'secret': False, 'ftc': False, 'relation': 0, 'openFavorite': False, 'commentSetting': 0, 'duetSetting': 0, 'stitchSetting': 0, 'privateAccount': False}|[TikTokApi.hashtag(id='7691930', name='petro'), TikTokApi.hashtag(id='1595769331561478', name='petropresidente')]|#petro #petropresidente|<TikTokApi.browser_utilities.browser.browser object at 0x7f0a08bc5d90>|en|America/Bogota|Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1|{'diggCount': 177800, 'shareCount': 25400, 'commentCount': 4352, 'playCount': 2200000}
4|petro|2022-03-14 23:10:08|7075174379801365765|{'id': '6853984573447013382', 'uniqueId': 'tiagoradiooficial', 'nickname': 'Tiago Radio', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e9a9a0ffbb253456acafa9e491e0161e~c5_100x100.jpeg?x-expires=1651021200&x-signature=frg%2FDMjrlQ3fO7WKHp%2BZw4EMP74%3D', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e9a9a0ffbb253456acafa9e491e0161e~c5_720x720.jpeg?x-expires=1651021200&x-signature=v237VlQLkd9FPXcLRq5M%2BdWk5II%3D', 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e9a9a0ffbb253456acafa9e491e0161e~c5_1080x1080.jpeg?x-expires=1651021200&x-signature=DlSomuT4%2FppbntcOLUXbiqMDjJs%3D', 'signature': '🇨🇴 - Colombiano\n🎙️ - Comunicador social \n🦧 - Animalista \n▶️ - https://bit.ly', 'verified': False, 'secUid': 'MS4wLjABAAAAjUdH7HE7mrOwKzFKOuit-mhD_tz7f79NQbR7D599WNCzMwBeQKeDw807R2ZblXuo', 'secret': False, 'ftc': False, 'relation': 0, 'openFavorite': False, 'commentSetting': 0, 'duetSetting': 0, 'stitchSetting': 0, 'privateAccount': False}|[TikTokApi.hashtag(id='7691930', name='petro'), TikTokApi.hashtag(id='1658885222206469', name='gustavopetro'), TikTokApi.hashtag(id='1595769331561478', name='petropresidente'), TikTokApi.hashtag(id='1678660788566017', name='petropresidente2022'), TikTokApi.hashtag(id='47529136', name='petrovsky'), TikTokApi.hashtag(id='1684074945231890', name='pactohistorico'), TikTokApi.hashtag(id='1693139258256389', name='pactohistórico')]|#petro #gustavopetro #petropresidente #petropresidente2022 #petrovsky #pactohistorico #pactohistórico|<TikTokApi.browser_utilities.browser.browser object at 0x7f0a08bc5d90>|en|America/Bogota|Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1|{'diggCount': 19500, 'shareCount': 2253, 'commentCount': 1012, 'playCount': 354800}
5|petro|2022-03-14 22:56:22|7075170837111852293|{'id': '6958131086988739590', 'uniqueId': 'huger702', 'nickname': 'huger702', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2fa7e77c23653d0d357f255ee9a71892~c5_100x100.jpeg?x-expires=1651021200&x-signature=n1HvZe4vziPP6ljnFHamjetloNo%3D', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2fa7e77c23653d0d357f255ee9a71892~c5_720x720.jpeg?x-expires=1651021200&x-signature=p80G2EZk88kaGx2%2FGqks9QsaJJU%3D', 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2fa7e77c23653d0d357f255ee9a71892~c5_1080x1080.jpeg?x-expires=1651021200&x-signature=TUxFgM%2FmYQEEk%2B0MCwnmaIMLMMY%3D', 'signature': 'Ya no se pueden montar videos por disque son peligrosos sean serios', 'verified': False, 'secUid': 'MS4wLjABAAAAWvSzuPEBAA6uwRTsmHDYEfDacroNtrF_e_3q2K6arJgN3MJefc_QOx08QowN9qLU', 'secret': False, 'ftc': False, 'relation': 0, 'openFavorite': False, 'commentSetting': 0, 'duetSetting': 0, 'stitchSetting': 0, 'privateAccount': False}|[]|Petro presidente|<TikTokApi.browser_utilities.browser.browser object at 0x7f0a08bc5d90>|en|America/Bogota|Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1|{'diggCount': 69400, 'shareCount': 26900, 'commentCount': 3597, 'playCount': 1500000}
6|petro|2022-01-29 20:00:46|7058797839119322374|"{'id': '6860336010917692421', 'uniqueId': 'estudianteunal', 'nickname': 'El UNALeño', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/379e2b0736d4db828c5202fec760eeef~c5_100x100.jpeg?x-expires=1651021200&x-signature=sS%2Fvgw4MYtJuMUwpf%2BiW86wTgEU%3D', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/379e2b0736d4db828c5202fec760eeef~c5_720x720.jpeg?x-expires=1651021200&x-signature=ppL%2FF2yHOHVk5n8KvtCawBxWQ2A%3D', 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/379e2b0736d4db828c5202fec760eeef~c5_1080x1080.jpeg?x-expires=1651021200&x-signature=%2Fb0z5Y4SsMcLgXOZG5rEz1FKN%2FE%3D', 'signature': 'Estudiante U.N\n""Soy un rotundo vagabundo""\nSátira de Colombia\n🇨🇴', 'verified': False, 'secUid': 'MS4wLjABAAAA9PCkn32AZLHY6OKBUfbkoegsbXp9jv-aIWOe5KgDED7wnJ7Tg90UqNw1mgPtEHZZ', 'secret': False, 'ftc': False, 'relation': 0, 'openFavorite': False, 'commentSetting': 0, 'duetSetting': 0, 'stitchSetting': 0, 'privateAccount': False}"|[TikTokApi.hashtag(id='8387707', name='uribe'), TikTokApi.hashtag(id='82882593', name='copombia'), TikTokApi.hashtag(id='1658364080144390', name='politicacolombiana'), TikTokApi.hashtag(id='1624117230441494', name='uribismo'), TikTokApi.hashtag(id='7691930', name='petro'), TikTokApi.hashtag(id='20884', name='viral'), TikTokApi.hashtag(id='229207', name='fyp'), TikTokApi.hashtag(id='1615272435619846', name='uribistas'), TikTokApi.hashtag(id='1650842436231173', name='falsospositivos'), TikTokApi.hashtag(id='399411', name='bogota'), TikTokApi.hashtag(id='7691930', name='petro'), TikTokApi.hashtag(id='1618740929221638', name='alvarouribe')]|veaan con la joya que sale  #uribe #copombia #politicacolombiana #uribismo #petro #viral #fyp #uribistas #falsospositivos #bogota #petro #alvarouribe|<TikTokApi.browser_utilities.browser.browser object at 0x7f0a08bc5d90>|en|America/Bogota|Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1|{'diggCount': 134500, 'shareCount': 8088, 'commentCount': 1093, 'playCount': 1400000}
7|petro|2022-02-21 08:42:57|7067158127216479494|{'id': '6958475541298103302', 'uniqueId': 'vcolombia2022', 'nickname': 'Visión Colombia 2022', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/77db76bd019a59af4a0b3a65a94f1464~c5_100x100.jpeg?x-expires=1651021200&x-signature=PDKTHtx0uULhTzkwMe8FyBadlUQ%3D', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/77db76bd019a59af4a0b3a65a94f1464~c5_720x720.jpeg?x-expires=1651021200&x-signature=MNA3EH1qJf51aW7Saxf1ObID5SM%3D', 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/77db76bd019a59af4a0b3a65a94f1464~c5_1080x1080.jpeg?x-expires=1651021200&x-signature=JO8Z2SkgcPMuGtIy9NdoD9jqsL0%3D', 'signature': 'Luchamos contra el populismo porque es una amenaza contra la democracia.', 'verified': False, 'secUid': 'MS4wLjABAAAAh5XvcIQZNbA1lWjclI9mgZ3UiKDuLrEzO3kt_e4eha1zMd4ojO-xejAuKQQ9MSHU', 'secret': False, 'ftc': False, 'relation': 0, 'openFavorite': False, 'commentSetting': 0, 'duetSetting': 0, 'stitchSetting': 0, 'privateAccount': False}|[TikTokApi.hashtag(id='1648916857506821', name='populismo'), TikTokApi.hashtag(id='7691930', name='petro'), TikTokApi.hashtag(id='1658885222206469', name='gustavopetro'), TikTokApi.hashtag(id='20050', name='colombia'), TikTokApi.hashtag(id='1610262502181893', name='socialismo'), TikTokApi.hashtag(id='1644235118952453', name='palaciodejusticia'), TikTokApi.hashtag(id='11149215', name='m19'), TikTokApi.hashtag(id='35874056', name='comunismo'), TikTokApi.hashtag(id='15267', name='venezuela'), TikTokApi.hashtag(id='18063794', name='elecciones'), TikTokApi.hashtag(id='17726526', name='votar')]|#populismo #petro #gustavopetro #colombia #socialismo #palaciodejusticia #m19 #comunismo #venezuela #elecciones #votar|<TikTokApi.browser_utilities.browser.browser object at 0x7f0a08bc5d90>|en|America/Bogota|Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1|{'diggCount': 35700, 'shareCount': 27600, 'commentCount': 3269, 'playCount': 2000000}
8|petro|2022-03-08 13:44:47|7072802190888373510|{'id': '6810356731735376902', 'uniqueId': 'escenasz', 'nickname': 'Juan Sebastián Z', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b93f4620dd4993aaeb962ee2bd85db54~c5_100x100.jpeg?x-expires=1651021200&x-signature=xMlq2KwhpBS6xxJekz7c%2F48klDM%3D', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b93f4620dd4993aaeb962ee2bd85db54~c5_720x720.jpeg?x-expires=1651021200&x-signature=RGR0jznR0SlkukjRFDPAkiRTfGQ%3D', 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b93f4620dd4993aaeb962ee2bd85db54~c5_1080x1080.jpeg?x-expires=1651021200&x-signature=OA%2B3tvazpyRbphqstPLC2pvC%2FlM%3D', 'signature': 'Les contamos las tendencias.', 'verified': False, 'secUid': 'MS4wLjABAAAAU3v2-YqkClOGDrMqQ7siOS3hXSR-rv6E9Ksdl1wCDrIyKKITYm50dbbRiPF0uO49', 'secret': False, 'ftc': False, 'relation': 0, 'openFavorite': False, 'commentSetting': 0, 'duetSetting': 0, 'stitchSetting': 0, 'privateAccount': False}|[TikTokApi.hashtag(id='7691930', name='petro'), TikTokApi.hashtag(id='1656735750433798', name='vickydavila'), TikTokApi.hashtag(id='1700579283526661', name='escenasz')]|Petro peina a Vicky Dávila. #petro #vickydavila #escenasz|<TikTokApi.browser_utilities.browser.browser object at 0x7f0a08bc5d90>|en|America/Bogota|Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1|{'diggCount': 98200, 'shareCount': 7651, 'commentCount': 1737, 'playCount': 1400000}
9|petro|2022-01-05 14:01:56|7049799327732059398|{'id': '6891272227842278401', 'uniqueId': 'gustavopetrooficial', 'nickname': 'Gustavo Petro', 'avatarThumb': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fb619eef1bb8214eb14570e51cbd2b5d~c5_100x100.jpeg?x-expires=1651021200&x-signature=swZA%2FyFQdMKQ14l69j3BNJKvJ2A%3D', 'avatarMedium': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fb619eef1bb8214eb14570e51cbd2b5d~c5_720x720.jpeg?x-expires=1651021200&x-signature=2VjtBeapXsVOPHL9Qeh9vY43IiM%3D', 'avatarLarger': 'https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fb619eef1bb8214eb14570e51cbd2b5d~c5_1080x1080.jpeg?x-expires=1651021200&x-signature=CUI2eQrOUchR%2BPpRmZ0restYReI%3D', 'signature': 'Candidato presidencial\nHaremos de Colombia una potencia mundial de la vida', 'verified': True, 'secUid': 'MS4wLjABAAAAhdLULqt90LNePE7T7qt_VQX5aRQ5avOhM3guc6RvoW9gw_xtopmRk7jg0HwWR8FK', 'secret': False, 'ftc': False, 'relation': 0, 'openFavorite': False, 'commentSetting': 0, 'duetSetting': 0, 'stitchSetting': 0, 'privateAccount': False}|[TikTokApi.hashtag(id='1658885222206469', name='gustavopetro'), TikTokApi.hashtag(id='1705215324986374', name='eleccionescolombia2022'), TikTokApi.hashtag(id='7691930', name='petro'), TikTokApi.hashtag(id='1595769331561478', name='petropresidente'), TikTokApi.hashtag(id='1687984128886790', name='bucketlist2022')]|Más educación, más conocimiento, más productividad, más riqueza. #gustavopetro #eleccionescolombia2022 #petro #petropresidente #bucketlist2022|<TikTokApi.browser_utilities.browser.browser object at 0x7f0a08bc5d90>|en|America/Bogota|Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1|{'diggCount': 39100, 'shareCount': 4101, 'commentCount': 2530, 'playCount': 810000}
